OrderID,Date,Customer,Product,Category,Region,Quantity,UnitPrice,Revenue,PaymentMethod
93,2025-06-06,Customer_336,Headphones,Electronics,North,5,25344,126720,Card
94,2024-04-10,Customer_975,Tablet,Accessories,West,5,49783,248915,Net Banking
95,2023-09-16,Customer_553,Printer,Electronics,West,1,49588,49588,Cash
96,2023-12-25,Customer_32,Phone,Gadgets,North,1,49929,49929,Card
97,2023-07-24,Customer_130,Printer,Electronics,Central,3,16133,48399,Net Banking
98,2024-11-16,Customer_263,Laptop,Gadgets,South,8,46340,370720,UPI
99,2023-06-21,Customer_111,Camera,Gadgets,North,3,20884,62652,Cash
100,2023-11-16,Customer_204,Camera,Gadgets,West,7,47359,331513,Cash
101,2024-08-29,Customer_792,Watch,Gadgets,South,2,46191,92382,UPI
102,2025-05-20,Customer_356,Watch,Gadgets,North,10,3191,31910,Net Banking
103,2024-11-08,Customer_870,Tablet,Electronics,Central,6,1329,7974,Net Banking
104,2025-04-22,Customer_913,Headphones,Electronics,West,6,42153,252918,Net Banking
105,2024-12-25,Customer_277,Phone,Accessories,South,9,43128,388152,Net Banking
106,2024-04-21,Customer_873,Headphones,Gadgets,Central,5,21622,108110,Card
107,2025-04-30,Customer_476,Laptop,Accessories,West,4,49683,198732,Net Banking
108,2023-12-11,Customer_218,Laptop,Accessories,East,3,32452,97356,UPI
109,2025-03-27,Customer_902,Tablet,Accessories,East,10,46452,464520,UPI
110,2024-07-23,Customer_738,Laptop,Gadgets,South,2,16317,32634,Net Banking
111,2024-05-15,Customer_812,Camera,Electronics,West,8,29871,238968,Cash
112,2023-04-06,Customer_680,Tablet,Electronics,West,4,20567,82268,UPI
113,2024-04-29,Customer_564,Camera,Gadgets,East,7,49385,345695,UPI
114,2023-12-27,Customer_237,Watch,Accessories,East,5,16975,84875,Cash
115,2025-01-08,Customer_190,Phone,Accessories,North,9,45730,411570,Card
116,2023-08-10,Customer_612,Watch,Accessories,East,10,34882,348820,UPI
117,2023-04-13,Customer_184,Printer,Electronics,East,4,24150,96600,UPI
118,2023-01-15,Customer_998,Watch,Gadgets,South,5,3482,17410,Cash
119,2024-07-20,Customer_894,Tablet,Gadgets,South,8,7223,57784,Cash
120,2024-08-10,Customer_189,Tablet,Accessories,West,8,22828,182624,Cash
121,2023-09-16,Customer_504,Printer,Accessories,North,2,26760,53520,Cash
122,2024-08-13,Customer_831,Watch,Gadgets,North,3,10277,30831,UPI
123,2023-03-29,Customer_611,Phone,Electronics,Central,7,40235,281645,Card
124,2025-03-05,Customer_881,Camera,Accessories,West,8,19987,159896,Net Banking
125,2023-11-09,Customer_102,Camera,Gadgets,North,10,49002,490020,Card
126,2024-10-02,Customer_178,Phone,Accessories,North,3,16219,48657,Cash
127,2023-06-10,Customer_299,Laptop,Accessories,West,10,31296,312960,Cash
128,2023-08-26,Customer_704,Tablet,Gadgets,East,8,5164,41312,Card
129,2023-09-28,Customer_118,Printer,Gadgets,Central,4,28361,113444,Card
130,2024-10-25,Customer_170,Phone,Accessories,South,2,4408,8816,UPI
131,2024-09-01,Customer_480,Watch,Gadgets,East,8,8649,69192,UPI
132,2024-12-17,Customer_449,Headphones,Accessories,Central,9,32861,295749,Cash
133,2024-09-04,Customer_27,Laptop,Accessories,East,10,16908,169080,Cash
134,2023-08-23,Customer_842,Watch,Gadgets,Central,1,44558,44558,UPI
135,2024-08-13,Customer_453,Laptop,Electronics,West,9,43197,388773,UPI
136,2023-07-05,Customer_357,Camera,Accessories,West,2,31302,62604,Net Banking
137,2023-12-08,Customer_422,Tablet,Gadgets,North,3,22114,66342,Net Banking
138,2023-10-23,Customer_91,Watch,Accessories,Central,1,30307,30307,UPI
139,2023-09-16,Customer_674,Tablet,Electronics,West,9,575,5175,Net Banking
140,2024-02-28,Customer_775,Laptop,Electronics,Central,6,41304,247824,Net Banking
141,2024-10-02,Customer_135,Headphones,Electronics,South,5,36493,182465,UPI
142,2024-03-24,Customer_624,Watch,Accessories,North,1,41789,41789,Card
143,2024-12-27,Customer_418,Phone,Accessories,Central,1,36692,36692,Cash
144,2023-08-19,Customer_853,Printer,Electronics,West,2,42948,85896,Card
145,2024-05-25,Customer_855,Watch,Accessories,Central,5,27729,138645,Net Banking
146,2024-04-28,Customer_196,Phone,Accessories,Central,3,25638,76914,Card
147,2025-06-03,Customer_274,Laptop,Accessories,West,6,33775,202650,Cash
148,2023-10-17,Customer_502,Watch,Accessories,Central,10,43749,437490,Card
149,2024-04-02,Customer_782,Camera,Accessories,East,6,36670,220020,Net Banking
150,2024-04-11,Customer_240,Tablet,Electronics,South,10,25598,255980,Net Banking
151,2023-02-14,Customer_680,Tablet,Gadgets,West,7,25802,180614,Card
152,2024-05-22,Customer_891,Laptop,Electronics,Central,10,22257,222570,Cash
153,2025-06-14,Customer_16,Printer,Accessories,North,9,30445,274005,Card
154,2024-02-24,Customer_801,Printer,Gadgets,South,2,31268,62536,UPI
155,2023-12-13,Customer_873,Camera,Gadgets,West,2,22032,44064,Net Banking
156,2023-11-21,Customer_633,Watch,Gadgets,West,9,2852,25668,Cash
157,2023-08-29,Customer_93,Watch,Gadgets,East,4,49440,197760,Net Banking
158,2023-04-11,Customer_711,Printer,Gadgets,North,8,11402,91216,UPI
159,2023-01-30,Customer_384,Laptop,Accessories,North,5,23992,119960,Net Banking
160,2023-05-30,Customer_812,Phone,Gadgets,West,10,45182,451820,Card
161,2023-06-24,Customer_700,Phone,Electronics,Central,7,41113,287791,Card
162,2024-05-24,Customer_261,Camera,Electronics,South,8,42305,338440,Net Banking
163,2023-09-19,Customer_560,Watch,Electronics,West,5,44907,224535,Card
164,2023-03-17,Customer_986,Headphones,Accessories,Central,5,42373,211865,Net Banking
165,2024-12-07,Customer_874,Tablet,Accessories,East,4,25711,102844,Net Banking
166,2023-04-20,Customer_303,Phone,Accessories,Central,6,38170,229020,UPI
167,2023-01-23,Customer_580,Printer,Gadgets,West,5,1030,5150,Cash
168,2024-09-12,Customer_822,Watch,Accessories,East,4,40284,161136,UPI
169,2023-08-13,Customer_774,Watch,Electronics,Central,5,44917,224585,Card
170,2024-10-05,Customer_35,Laptop,Gadgets,North,5,29389,146945,UPI
171,2025-01-19,Customer_426,Phone,Electronics,East,6,49486,296916,Card
172,2023-07-25,Customer_936,Phone,Gadgets,East,9,33385,300465,UPI
173,2025-04-30,Customer_892,Phone,Accessories,West,5,49426,247130,UPI
174,2025-04-03,Customer_990,Laptop,Accessories,North,3,49924,149772,Card
175,2025-05-30,Customer_93,Watch,Gadgets,West,9,24471,220239,Net Banking
176,2023-01-15,Customer_689,Tablet,Gadgets,North,8,24655,197240,UPI
177,2024-08-21,Customer_240,Headphones,Gadgets,East,2,44726,89452,Net Banking
178,2023-01-26,Customer_664,Camera,Gadgets,East,10,15007,150070,Cash
179,2024-10-12,Customer_144,Printer,Accessories,East,7,8146,57022,Cash
180,2023-02-08,Customer_909,Tablet,Accessories,North,2,15887,31774,Card
181,2024-02-02,Customer_761,Headphones,Accessories,Central,7,38991,272937,Card
182,2024-02-29,Customer_962,Watch,Electronics,West,10,27246,272460,UPI
183,2023-02-03,Customer_974,Watch,Accessories,South,8,29643,237144,Card
184,2025-05-25,Customer_368,Tablet,Electronics,East,9,42759,384831,Cash
185,2024-02-12,Customer_679,Tablet,Electronics,North,8,6507,52056,Card
186,2024-10-19,Customer_250,Watch,Gadgets,North,1,22356,22356,Card
187,2025-03-16,Customer_601,Camera,Electronics,North,9,14076,126684,Card
188,2025-04-12,Customer_3,Printer,Electronics,East,3,39558,118674,UPI
189,2025-05-29,Customer_113,Phone,Electronics,Central,5,11935,59675,Cash
190,2023-05-15,Customer_17,Laptop,Accessories,South,10,21718,217180,Card
191,2023-09-29,Customer_764,Laptop,Electronics,West,9,7948,71532,Cash
192,2024-05-02,Customer_463,Headphones,Accessories,Central,10,7646,76460,Card
193,2024-09-21,Customer_659,Laptop,Gadgets,Central,5,30518,152590,Cash
194,2023-03-04,Customer_730,Headphones,Accessories,West,2,32630,65260,Net Banking
195,2023-03-17,Customer_130,Laptop,Accessories,Central,3,4804,14412,UPI
196,2024-10-01,Customer_612,Watch,Gadgets,Central,6,25462,152772,UPI
197,2024-04-09,Customer_118,Camera,Gadgets,West,2,46491,92982,Card
198,2024-03-16,Customer_409,Headphones,Electronics,West,6,30220,181320,Net Banking
199,2025-01-17,Customer_262,Laptop,Accessories,West,6,44088,264528,UPI
200,2023-06-06,Customer_96,Watch,Accessories,North,2,6094,12188,Net Banking
201,2023-04-09,Customer_62,Watch,Gadgets,East,3,36962,110886,UPI
202,2024-11-17,Customer_53,Laptop,Accessories,East,7,47755,334285,UPI
203,2024-09-06,Customer_218,Tablet,Accessories,North,10,33753,337530,Card
204,2024-11-03,Customer_377,Headphones,Electronics,North,6,36955,221730,Cash
205,2025-02-19,Customer_998,Tablet,Gadgets,South,7,37263,260841,Cash
206,2024-09-15,Customer_280,Watch,Gadgets,East,1,12323,12323,UPI
207,2023-12-14,Customer_674,Tablet,Electronics,South,3,37614,112842,Net Banking
208,2023-03-13,Customer_544,Phone,Gadgets,North,2,49397,98794,Card
209,2024-01-21,Customer_320,Headphones,Accessories,East,3,24751,74253,UPI
210,2025-03-06,Customer_162,Camera,Gadgets,North,1,10696,10696,Cash
211,2024-11-21,Customer_622,Laptop,Accessories,West,7,32328,226296,Net Banking
212,2024-02-29,Customer_441,Tablet,Electronics,Central,2,23121,46242,Cash
213,2023-10-18,Customer_684,Watch,Gadgets,Central,8,35033,280264,UPI
214,2023-02-16,Customer_210,Phone,Accessories,Central,1,1003,1003,UPI
215,2023-08-05,Customer_123,Printer,Electronics,East,5,22003,110015,Cash
216,2024-05-24,Customer_546,Watch,Accessories,South,3,25417,76251,Card
217,2024-05-27,Customer_883,Camera,Gadgets,East,2,26522,53044,Cash
218,2024-03-22,Customer_440,Laptop,Accessories,North,6,38232,229392,Net Banking
219,2024-12-27,Customer_22,Watch,Accessories,East,2,27044,54088,UPI
220,2023-06-25,Customer_448,Printer,Gadgets,West,6,6275,37650,Cash
221,2023-09-07,Customer_406,Headphones,Gadgets,West,9,5654,50886,UPI
222,2025-02-02,Customer_523,Tablet,Electronics,East,3,5505,16515,Cash
223,2024-06-27,Customer_982,Camera,Electronics,East,6,48169,289014,Card
224,2023-08-30,Customer_617,Laptop,Electronics,East,4,11870,47480,Card
225,2025-02-17,Customer_506,Printer,Gadgets,North,3,41653,124959,Net Banking
226,2025-02-11,Customer_651,Camera,Gadgets,West,10,42639,426390,UPI
227,2025-06-03,Customer_481,Watch,Accessories,South,8,4975,39800,Net Banking
228,2024-10-08,Customer_520,Tablet,Accessories,Central,1,23564,23564,Cash
229,2023-11-14,Customer_852,Headphones,Accessories,North,1,24665,24665,UPI
230,2023-03-20,Customer_394,Watch,Electronics,Central,10,33731,337310,Net Banking
231,2024-08-17,Customer_668,Camera,Gadgets,North,8,37964,303712,Card
232,2023-11-26,Customer_462,Camera,Accessories,Central,3,4554,13662,Cash
233,2025-04-10,Customer_177,Printer,Accessories,North,9,42844,385596,Cash
234,2023-09-11,Customer_625,Watch,Accessories,West,9,34758,312822,Card
235,2024-01-08,Customer_696,Tablet,Accessories,West,7,22675,158725,Cash
236,2025-03-19,Customer_97,Watch,Gadgets,East,2,22106,44212,Net Banking
237,2023-10-18,Customer_84,Tablet,Gadgets,Central,3,22347,67041,Card
238,2023-12-25,Customer_726,Tablet,Gadgets,West,3,39496,118488,Cash
239,2023-11-14,Customer_720,Camera,Accessories,East,3,44416,133248,Cash
240,2024-10-23,Customer_372,Watch,Accessories,Central,6,1694,10164,UPI
241,2023-07-04,Customer_141,Phone,Accessories,West,4,15346,61384,Card
242,2023-03-21,Customer_905,Tablet,Electronics,Central,9,48907,440163,Cash
243,2024-11-08,Customer_158,Tablet,Gadgets,South,10,25188,251880,Card
244,2023-07-05,Customer_449,Printer,Gadgets,Central,3,47763,143289,Cash
245,2024-02-25,Customer_292,Tablet,Gadgets,South,8,40515,324120,Net Banking
246,2023-08-28,Customer_377,Camera,Electronics,East,8,13215,105720,Net Banking
247,2024-04-17,Customer_429,Printer,Accessories,West,9,35067,315603,Card
248,2025-04-16,Customer_657,Phone,Gadgets,South,5,3919,19595,Net Banking
249,2025-06-14,Customer_292,Tablet,Gadgets,North,9,8670,78030,Cash
250,2025-02-20,Customer_851,Phone,Accessories,West,9,10156,91404,Net Banking
251,2023-04-04,Customer_55,Phone,Accessories,East,1,27690,27690,Net Banking
252,2024-05-29,Customer_230,Tablet,Electronics,West,2,25070,50140,Cash
253,2023-11-23,Customer_40,Laptop,Gadgets,East,3,9517,28551,UPI
254,2025-04-29,Customer_631,Headphones,Gadgets,South,8,29899,239192,Cash
255,2023-03-23,Customer_963,Laptop,Accessories,South,3,36466,109398,Net Banking
256,2023-04-24,Customer_49,Printer,Accessories,South,5,8485,42425,Card
257,2024-03-05,Customer_857,Watch,Gadgets,West,2,7765,15530,Net Banking
258,2024-09-03,Customer_736,Camera,Electronics,Central,10,16355,163550,Card
259,2023-10-26,Customer_585,Headphones,Electronics,Central,6,16265,97590,Net Banking
260,2023-07-11,Customer_70,Watch,Gadgets,North,9,24132,217188,Cash
261,2024-02-04,Customer_260,Printer,Accessories,North,7,24964,174748,Cash
262,2024-01-01,Customer_673,Printer,Electronics,East,4,48534,194136,Cash
263,2025-03-01,Customer_361,Camera,Gadgets,East,3,3405,10215,UPI
264,2025-04-13,Customer_187,Watch,Electronics,West,8,41901,335208,Card
265,2023-03-06,Customer_45,Watch,Accessories,North,5,13711,68555,Card
266,2023-02-12,Customer_485,Tablet,Accessories,Central,7,36088,252616,UPI
267,2023-02-07,Customer_883,Printer,Gadgets,South,5,23894,119470,Cash
268,2025-06-05,Customer_448,Watch,Accessories,East,2,24618,49236,Net Banking
269,2025-01-31,Customer_709,Headphones,Accessories,East,3,33019,99057,Net Banking
270,2024-01-12,Customer_435,Printer,Gadgets,East,2,48150,96300,Cash
271,2024-03-16,Customer_106,Camera,Electronics,Central,5,21550,107750,Cash
272,2023-12-02,Customer_735,Watch,Accessories,East,8,39993,319944,Net Banking
273,2023-06-20,Customer_745,Watch,Accessories,East,8,3275,26200,UPI
274,2024-09-21,Customer_653,Headphones,Accessories,North,2,44486,88972,Net Banking
275,2024-01-08,Customer_870,Camera,Gadgets,South,1,9857,9857,Net Banking
276,2023-02-05,Customer_393,Phone,Electronics,South,6,24233,145398,Cash
277,2024-09-11,Customer_455,Phone,Gadgets,West,6,24880,149280,Cash
278,2024-08-10,Customer_666,Phone,Gadgets,East,7,21103,147721,UPI
279,2023-09-13,Customer_397,Laptop,Electronics,South,8,34430,275440,Cash
280,2023-09-26,Customer_293,Printer,Accessories,West,4,40599,162396,Net Banking
281,2023-07-24,Customer_921,Laptop,Electronics,North,8,11815,94520,Net Banking
282,2023-03-31,Customer_67,Printer,Gadgets,East,6,47000,282000,UPI
283,2023-11-04,Customer_230,Printer,Electronics,South,6,33841,203046,Cash
284,2023-07-25,Customer_370,Printer,Electronics,South,8,2222,17776,UPI
285,2024-04-23,Customer_68,Printer,Gadgets,South,10,6150,61500,UPI
286,2024-02-12,Customer_788,Watch,Gadgets,West,9,27421,246789,Net Banking
287,2025-04-23,Customer_76,Camera,Electronics,South,6,42596,255576,Net Banking
288,2024-04-22,Customer_656,Watch,Gadgets,East,3,36630,109890,Card
289,2025-02-25,Customer_531,Phone,Accessories,Central,1,8637,8637,Card
290,2023-11-08,Customer_971,Phone,Electronics,East,4,23176,92704,UPI
291,2025-05-16,Customer_129,Laptop,Accessories,South,9,18486,166374,UPI
292,2024-09-21,Customer_965,Camera,Electronics,Central,3,39284,117852,Card
293,2023-06-25,Customer_43,Watch,Gadgets,Central,6,37437,224622,Cash
294,2023-03-25,Customer_216,Laptop,Gadgets,Central,5,43172,215860,Net Banking
295,2024-09-24,Customer_658,Watch,Electronics,West,9,19483,175347,UPI
296,2024-05-09,Customer_75,Phone,Gadgets,West,5,30223,151115,Cash
297,2023-06-11,Customer_349,Headphones,Accessories,West,8,13870,110960,Card
298,2023-11-17,Customer_134,Printer,Gadgets,East,6,26630,159780,UPI
299,2024-06-11,Customer_126,Camera,Electronics,East,4,31070,124280,UPI
300,2024-04-05,Customer_969,Phone,Electronics,North,1,19519,19519,Net Banking
301,2025-06-03,Customer_957,Camera,Accessories,South,3,21958,65874,UPI
302,2023-07-14,Customer_511,Printer,Electronics,West,9,31093,279837,UPI
303,2024-05-24,Customer_990,Laptop,Electronics,West,9,30465,274185,Card
304,2023-08-09,Customer_507,Camera,Accessories,North,1,18938,18938,Net Banking
305,2023-10-20,Customer_904,Camera,Electronics,North,7,9277,64939,UPI
306,2025-01-14,Customer_53,Tablet,Accessories,East,1,26752,26752,Card
307,2024-01-07,Customer_462,Camera,Accessories,North,7,33546,234822,UPI
308,2025-04-25,Customer_999,Camera,Gadgets,Central,2,8932,17864,Cash
309,2024-02-08,Customer_148,Tablet,Accessories,Central,6,49977,299862,Card
310,2024-09-08,Customer_40,Camera,Accessories,Central,1,3469,3469,Card
311,2024-12-31,Customer_621,Tablet,Accessories,Central,8,10260,82080,Card
312,2023-12-02,Customer_758,Camera,Accessories,South,7,40902,286314,UPI
313,2024-08-30,Customer_726,Tablet,Gadgets,Central,9,32602,293418,UPI
314,2024-05-01,Customer_113,Printer,Electronics,East,6,44658,267948,Net Banking
315,2024-08-20,Customer_272,Tablet,Gadgets,North,10,31602,316020,Card
316,2025-01-08,Customer_645,Laptop,Gadgets,West,3,34856,104568,Net Banking
317,2023-06-01,Customer_971,Printer,Gadgets,South,1,38023,38023,Cash
318,2023-07-15,Customer_423,Laptop,Accessories,East,7,10424,72968,Card
319,2024-02-25,Customer_142,Camera,Gadgets,West,1,46753,46753,Card
320,2024-07-28,Customer_322,Tablet,Gadgets,West,9,25195,226755,Card
321,2024-04-15,Customer_791,Camera,Accessories,Central,6,44793,268758,UPI
322,2024-09-16,Customer_306,Headphones,Electronics,South,5,37074,185370,Card
323,2023-11-01,Customer_492,Printer,Accessories,South,8,21277,170216,UPI
324,2024-07-27,Customer_588,Printer,Gadgets,East,5,8487,42435,Net Banking
325,2024-02-09,Customer_295,Printer,Accessories,South,5,3256,16280,Cash
326,2023-12-21,Customer_207,Headphones,Gadgets,East,8,14523,116184,UPI
327,2024-07-29,Customer_759,Watch,Accessories,South,2,40849,81698,Card
328,2023-09-06,Customer_239,Laptop,Gadgets,Central,4,42308,169232,Cash
329,2023-04-13,Customer_790,Headphones,Accessories,West,2,45142,90284,Card
330,2023-01-06,Customer_667,Camera,Electronics,West,8,31790,254320,Card
331,2025-02-13,Customer_668,Tablet,Accessories,East,1,6362,6362,Card
332,2024-07-01,Customer_904,Watch,Gadgets,North,3,27886,83658,Card
333,2023-02-07,Customer_986,Printer,Accessories,West,3,49586,148758,UPI
334,2025-06-16,Customer_110,Laptop,Electronics,East,10,40003,400030,UPI
335,2023-10-19,Customer_911,Headphones,Gadgets,Central,9,32869,295821,Card
336,2025-05-21,Customer_339,Camera,Accessories,East,4,7882,31528,Card
337,2025-01-18,Customer_755,Headphones,Gadgets,East,3,1423,4269,UPI
338,2025-03-20,Customer_877,Tablet,Gadgets,South,3,40539,121617,Net Banking
339,2025-04-26,Customer_686,Headphones,Gadgets,East,2,26769,53538,Cash
340,2023-07-09,Customer_268,Phone,Accessories,East,4,947,3788,Net Banking
341,2023-08-30,Customer_741,Headphones,Accessories,East,5,38672,193360,Cash
342,2023-09-25,Customer_122,Watch,Accessories,South,1,44264,44264,Net Banking
343,2023-11-11,Customer_121,Phone,Accessories,Central,5,45738,228690,UPI
344,2024-01-12,Customer_157,Camera,Electronics,South,3,31838,95514,Net Banking
345,2025-02-04,Customer_776,Camera,Accessories,West,9,31356,282204,Card
346,2025-02-19,Customer_458,Phone,Gadgets,Central,2,34939,69878,UPI
347,2023-03-21,Customer_208,Camera,Electronics,North,9,33627,302643,Card
348,2023-06-18,Customer_211,Tablet,Gadgets,West,2,45083,90166,Net Banking
349,2023-04-04,Customer_526,Camera,Accessories,North,8,9147,73176,Net Banking
350,2024-04-12,Customer_827,Camera,Electronics,Central,8,44590,356720,UPI
351,2025-01-10,Customer_224,Laptop,Accessories,East,1,49377,49377,Cash
352,2023-02-16,Customer_958,Headphones,Accessories,North,9,4448,40032,Cash
353,2024-04-28,Customer_785,Laptop,Accessories,West,3,9375,28125,Net Banking
354,2024-01-19,Customer_700,Headphones,Accessories,West,7,5759,40313,Card
355,2024-10-31,Customer_403,Printer,Accessories,North,3,35709,107127,Card
